Time (ms)     cl  pb      cost
   7102.87    7   35  24887.564
   6941.54    7   36  19558.926
   7007.20    7   37  17112.098
   6616.65    7   38  32364.926
   7036.52    7   39  25238.212
   7382.32    7   40  29165.572
   6429.14    7   41  18598.402
   8114.07    7   42   7617.484
   6609.76    7   43  31232.411
   6490.40    7   44  32181.923
   6695.62    7   45  16657.585
   8655.18    8    1  14694.261
   6370.55    8    2   3306.096
   8688.41    8    3  14953.979
   7100.26    8    4  10203.759
   6597.27    8    5  24428.943
   9716.50    8    6  21335.171
   6686.40    8    7   9331.850
   6681.76    8    8   9084.651
   6248.34    8    9   6349.261
   6539.87    8   10  14746.724
   7027.92    8   11   4797.873
   9940.06    8   12  17445.566
  11143.98    8   13  18024.109
   9422.19    8   14  14135.190
   8612.11    8   15   5951.332
   9059.11    8   16  16035.364
   6656.65    8   17  16728.765
   7724.87    8   18  13361.500
   7557.67    8   19  10374.968
   7238.70    8   20  24506.840
   8085.32    8   21  17451.474
   7245.45    8   22   9441.321
   7536.33    8   23   9307.392
   6469.69    8   24   6425.156
  11193.95    8   25  16626.163
   5839.08    8   26  22129.579
  10698.16    8   27  18523.172
   6738.61    8   28   3831.095
   9431.26    8   29  16015.764
   7811.05    8   30  17675.584
   5796.54    8   31  25732.912
  21314.55    8   32  20170.090
  21970.81    8   33  10051.743
   7633.29    8   34  13753.332
  11526.42    8   35  10953.215
   7079.50    8   36  38213.216
  11101.64    8   37  15484.748
   8711.08    8   38  25375.598
   6781.44    8   39  25170.965
   7936.30    8   40  11485.617
   9586.68    8   41  19299.769
   9288.19    8   42  21035.716
   9022.37    8   43  11127.263
   7643.99    8   44  11519.086
   7208.58    8   45  10684.651
  18903.18    9    1   7775.595
  11367.15    9    2   8977.776
  12348.62    9    3   6394.281
   8817.11    9    4   7215.388
  16815.46    9    5  11289.402
  13236.37    9    6   8821.676
  10323.51    9    7   7309.290
   6871.77    9    8  11766.066
  15112.09    9    9   9540.761
   9723.90    9   10   7127.627
   8642.26    9   11   4064.602
   8733.85    9   12   3895.813
   8235.43    9   13   5790.891
  10980.14    9   14   4567.136
   9887.44    9   15   4814.364
   6799.81    9   16   9407.442
   7475.23    9   17   5834.190
  11375.39    9   18   5893.939
  16484.13    9   19   6402.383
  10481.63    9   20   8042.388
  10535.93    9   21   8647.559
  11629.81    9   22   6778.993
   6885.61    9   23  10898.655
   8706.41    9   24   8533.527
  11185.70    9   25   4736.493
   7918.39    9   26   7432.981
  13021.08    9   27   6910.017
   9729.41    9   28   4557.976
   6595.04    9   29  10719.638
  12811.13    9   30   7457.495
  11851.82    9   31   5979.272
  10594.12    9   32   4693.121
   8863.36    9   33   5649.407
   6611.53    9   34   8929.888
  10493.30    9   35   7338.180
  15137.13    9   36   5715.755
   9848.37    9   37   6370.258
   6810.32    9   38   9252.324
   9830.31    9   39   5914.798
   8287.40    9   40   6069.723
   6717.42    9   41   8452.506
  10810.32    9   42   6325.537
   6871.70    9   43  12136.058
  12779.94    9   44   6272.327
   7554.36    9   45  12959.042
   6887.41   10    1    468.488
   6813.80   10    2    695.113
   6927.37   10    3    750.961
   5777.84   10    4   1357.376
   6396.65   10    5   1343.203
   7455.28   10    6    736.203
   8129.89   10    7    906.340
   6969.46   10    8   1848.943
   5811.57   10    9   1526.449
   6082.38   10   10    647.989
   8424.76   10   11   1505.582
   6563.30   10   12   1124.626
   6213.53   10   13   1712.018
   7728.41   10   14   1425.376
   7832.76   10   15   1513.912
   6587.18   10   16   2168.617
   7878.08   10   17   3101.663
   7175.19   10   18    603.805
   5608.38   10   19    817.035
   6664.90   10   20   1216.459
   5909.13   10   21    662.225
   7963.98   10   22    699.819
   7027.48   10   23   1616.942
   8564.39   10   24   1290.494
   6448.66   10   25    804.729
   6031.83   10   26   1019.611
   7873.06   10   27   1672.035
   7912.89   10   28   1992.216
   6439.33   10   29   1677.072
   6870.39   10   30   1944.704
   6570.79   10   31    561.480
   7207.98   10   32   1100.860
   7606.03   10   33   1049.814
   6738.95   10   34    848.178
   7854.27   10   35    612.417
   6002.20   10   36   1775.711
   7690.44   10   37   1838.120
   6532.63   10   38   1251.331
   7544.15   10   39    791.350
   7349.05   10   40    968.276
   6533.29   10   41   2102.123
   6806.74   10   42   3524.500
   6942.84   10   43   1975.417
   7316.43   10   44   4224.729
   7114.59   10   45    646.362
